year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2009,NYK,0.293,0.354,0.538,21.2,22.0,0.526,12.8,-4.2
2009,OKC,0.195,0.339,0.519,26.0,20.6,0.526,12.6,-8.5
2009,ORL,0.659,0.387,0.561,26.6,19.5,0.478,11.3,3.6
2009,PHI,0.415,0.306,0.53,27.2,19.0,0.523,13.9,-3.9
2009,PHO,0.439,0.366,0.57,26.7,23.7,0.518,12.5,-2.5
2009,POR,0.488,0.392,0.541,22.6,18.5,0.503,12.2,0.3
2009,SAC,0.146,0.376,0.543,24.2,20.1,0.533,12.6,-11.6
2009,SAS,0.634,0.369,0.535,20.3,20.6,0.477,11.0,2.6
2009,TOR,0.366,0.355,0.528,22.6,21.7,0.511,11.9,-6.1
2009,UTA,0.366,0.326,0.542,28.7,23.8,0.512,13.9,-4.2
2009,WAS,0.146,0.324,0.52,23.1,18.6,0.535,12.4,-10.2
2010,ATL,0.463,0.356,0.54,22.6,18.8,0.502,11.8,0.8
2010,BOS,0.634,0.36,0.561,26.4,21.8,0.473,13.6,3.9
2010,NJN,0.098,0.34,0.515,23.2,18.1,0.53,13.2,-11.0
2010,CHA,0.317,0.327,0.528,26.1,19.1,0.507,13.9,-3.7
2010,CHI,0.415,0.321,0.521,24.3,19.5,0.494,12.0,-3.9
2010,CLE,0.634,0.379,0.561,27.2,20.3,0.484,11.9,4.2
2010,DAL,0.659,0.381,0.556,22.0,23.8,0.492,12.6,3.2
2010,DEN,0.463,0.36,0.551,28.9,18.0,0.499,12.1,-0.8
2010,DET,0.244,0.338,0.519,23.2,18.5,0.536,13.3,-6.9
2010,GSW,0.195,0.356,0.549,24.0,20.5,0.528,14.0,-8.0
2010,HOU,0.463,0.352,0.532,23.9,21.3,0.515,13.7,-2.3
2010,IND,0.22,0.348,0.531,24.6,21.0,0.509,13.0,-7.9
2010,LAC,0.195,0.333,0.517,21.0,20.6,0.517,10.8,-10.0
2010,LAL,0.561,0.33,0.533,23.8,18.8,0.492,11.8,0.9
2010,MEM,0.415,0.361,0.539,27.2,19.4,0.534,12.2,-3.1
2010,MIA,0.561,0.347,0.54,23.8,19.3,0.474,12.8,1.2
2010,MIL,0.439,0.341,0.511,19.4,21.1,0.481,14.1,0.0
2010,MIN,0.122,0.347,0.515,23.6,19.0,0.538,12.6,-13.6
2010,NOH,0.317,0.352,0.54,19.4,20.9,0.532,12.7,-5.8
2010,NYK,0.268,0.357,0.543,20.8,22.0,0.53,12.6,-7.0
2010,OKC,0.561,0.344,0.537,27.2,20.0,0.486,13.3,1.3
2010,ORL,0.61,0.375,0.561,26.0,19.6,0.479,10.8,3.3
2010,PHI,0.366,0.362,0.536,22.3,20.3,0.51,12.9,-3.0
2010,PHO,0.537,0.412,0.578,25.3,23.7,0.497,11.0,0.4
2010,POR,0.585,0.346,0.547,24.0,19.6,0.508,13.3,1.9
2010,SAC,0.171,0.343,0.521,23.0,20.9,0.513,12.2,-7.5
2010,SAS,0.512,0.325,0.532,23.3,20.3,0.472,11.3,1.9
2010,TOR,0.366,0.394,0.569,24.8,21.9,0.529,11.3,-4.9
2010,UTA,0.512,0.342,0.545,26.2,26.5,0.496,13.3,1.2
2010,WAS,0.268,0.342,0.515,23.4,17.7,0.496,11.8,-6.8
2011,ATL,0.488,0.366,0.544,21.9,20.4,0.492,11.6,-0.8
